Car Name,Brand,Model Name,Model Year,KM Driven,Fuel Type,Transmission,Location,Price,EMI
2019 Nissan Micra XV CVT,Nissan,2019  Micra XV CVT,2019,"44,560 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 5.19 Lakh,"Rs. 9,341"
2022 Toyota Innova Crysta ZX 2.4 AT 7 STR,Toyota,2022  Innova Crysta ZX 2.4 AT 7 STR,2022,"35,700 km",Diesel,Automatic,"Attapur, Hyderabad",Rs. 27.5 Lakh,"Rs. 49,495"
2018 Land Rover Range Rover Velar 2.0 HSE Petrol 25,Land,2018  Rover Range Rover Velar 2.0 HSE Petrol 25,2018,"038,000 km",Petrol,Manual,"Begumpet, Hyderabad",Rs. 55 Lakh,"Rs. 98,990"
2019 Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,Hyundai,2019  Verna Fluidic 1.6 VTVT SX Opt AT,2019,"47,162 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 10.75 Lakh,"Rs. 19,348"
"2016 Maruti Suzuki Swift DZire ZDI1,",Maruti,"2016  Suzuki Swift DZire ZDI1,",2016,"38,000 km",Diesel,Manual,"L.B. Nagar Main Rd., Hyderabad",Rs. 5.8 Lakh,"Rs. 10,439"
2017 Skoda Rapid 1.5 TDI CR Elegance Plus,Skoda,2017  Rapid 1.5 TDI CR Elegance Plus,2017,"45,939 km",Diesel,Manual,"Banjara Hills Hyderabad, Hyderabad",Rs. 7.35 Lakh,"Rs. 13,228"
2023 Maruti Suzuki Ertiga VXi (O) CNG [2022-2023],Maruti,2023  Suzuki Ertiga VXi (O) CNG [2022-2023],2023,"47,924 km",CNG,Manual,N/A,Rs. 11.5 LakhMake,N/A
2021 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Mahindra,2021  Thar LX Hard Top Diesel AT 4WD [2023],2021,"22,455 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 15.5 Lakh,"Rs. 27,897"
2019 BMW X1 sDrive20d xLine,BMW,2019  X1 sDrive20d xLine,2019,"58,803 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 29 Lakh,"Rs. 52,195"
2017 Hyundai Creta SX Plus 1.6  Petrol,Hyundai,2017  Creta SX Plus 1.6  Petrol,2017,"60,663 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8.7 Lakh,"Rs. 15,658"
2020 Hyundai Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],Hyundai,2020  Creta SX (O) 1.4 Turbo 7 DCT [2020-2022],2020,"43,734 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 14 Lakh,"Rs. 25,197"
2021 Volkswagen Polo Trendline 1.0L MPI,Volkswagen,2021  Polo Trendline 1.0L MPI,2021,"45,591 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 6.3 Lakh,"Rs. 11,338"
2020 Tata Nexon XZA Plus (O),Tata,2020  Nexon XZA Plus (O),2020,"29,222 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 11 Lakh,"Rs. 19,798"
2018 Tata Tiago Revotron XTA [2017-2019],Tata,2018  Tiago Revotron XTA [2017-2019],2018,"72,572 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 4.25 Lakh,"Rs. 7,649"
2019 Hyundai Verna 1.6 VTVT SX,Hyundai,2019  Verna 1.6 VTVT SX,2019,"39,336 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 8.5 LakhRs,"Rs. 15,298"
2023 Kia Carens Luxury Plus 1.5 Diesel 7 STR,Kia,2023  Carens Luxury Plus 1.5 Diesel 7 STR,2023,"30,800 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 16.5 LakhRs,"Rs. 29,697"
2021 Volkswagen Polo Highline Plus 1.0L TSI AT,Volkswagen,2021  Polo Highline Plus 1.0L TSI AT,2021,"15,330 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 9.75 Lakh,"Rs. 17,548"
2017 Volkswagen Polo GT TDI,Volkswagen,2017  Polo GT TDI,2017,"78,586 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 6.5 Lakh,"Rs. 11,698"
2021 Mahindra Thar LX Hard Top Diesel MT 4WD,Mahindra,2021  Thar LX Hard Top Diesel MT 4WD,2021,"28,800 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 15 Lakh,"Rs. 26,997"
2022 Mahindra Thar LX Convertible Top Diesel MT 4WD [2023],Mahindra,2022  Thar LX Convertible Top Diesel MT 4WD [2023],2022,"12,150 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 17.5 LakhMake,N/A
2021 Mahindra Thar LX Convertible Petrol AT,Mahindra,2021  Thar LX Convertible Petrol AT,2021,"15,000 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 14 Lakh,"Rs. 25,197"
2022 Mahindra Thar LX Convertible Top Diesel MT 4WD [2023],Mahindra,2022  Thar LX Convertible Top Diesel MT 4WD [2023],2022,"4,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 16.5 LakhMake,N/A
2022 Mahindra Thar LX Hard Top Diesel AT 4WD [2023],Mahindra,2022  Thar LX Hard Top Diesel AT 4WD [2023],2022,"45,000 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 17 Lakh,"Rs. 30,597"
2023 Maruti Suzuki Baleno Zeta AGS [2022-2023],Maruti,2023  Suzuki Baleno Zeta AGS [2022-2023],2023,"22,304 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8.75 LakhRs,"Rs. 15,748"
2023 Maruti Suzuki FRONX Delta Plus 1.2L AGS,Maruti,2023  Suzuki FRONX Delta Plus 1.2L AGS,2023,"50,047 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8.5 Lakh,"Rs. 15,298"
2018 Honda City V CVT Petrol [2017-2019],Honda,2018  City V CVT Petrol [2017-2019],2018,"51,985 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 9.5 Lakh,"Rs. 17,098"
2020 Maruti Suzuki Vitara Brezza ZDi Plus,Maruti,2020  Suzuki Vitara Brezza ZDi Plus,2020,"74,574 km",Diesel,Manual,"Uppal, Hyderabad",Rs. 9.8 Lakh,"Rs. 17,638"
2019 Maruti Suzuki Wagon R VXi 1.0 AMT [2019-2019],Maruti,2019  Suzuki Wagon R VXi 1.0 AMT [2019-2019],2019,"78,548 km",Petrol,Automatic,"Uppal, Hyderabad",Rs. 4.85 Lakh,"Rs. 8,729"
2021 Maruti Suzuki XL6 Zeta MT Petrol,Maruti,2021  Suzuki XL6 Zeta MT Petrol,2021,"29,640 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 10.25 LakhMake,N/A
2023 Maruti Suzuki Baleno Zeta (O) 1.,Maruti,2023  Suzuki Baleno Zeta (O) 1.,2023,"250,298 km",Petrol,Manual,"Uppal, Hyderabad",Rs. 8.35 Lakh,"Rs. 15,028"
2015 Hyundai Verna Fluidic 1.6 VTVT SX AT,Hyundai,2015  Verna Fluidic 1.6 VTVT SX AT,2015,"85,479 km",Petrol,Automatic,"Uppal, Hyderabad",Rs. 5.5 Lakh,"Rs. 9,899"
"2020 MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD1,",MG,"2020  Gloster Savvy 6 STR 2.0 Twin Turbo 4WD1,",2020,"03,851 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 26.5 Lakh,"Rs. 47,695"
2017 Maruti Suzuki DZire VDi AMT,Maruti,2017  Suzuki DZire VDi AMT,2017,"68,818 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 6.95 Lakh,"Rs. 12,508"
2020 Kia Sonet GTX Plus 1.5 AT [2020-2021],Kia,2020  Sonet GTX Plus 1.5 AT [2020-2021],2020,"61,116 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 11.9 LakhRs,"Rs. 21,418"
2021 Audi A4 Technology 40 TFSI [2021-2022],Audi,2021  A4 Technology 40 TFSI [2021-2022],2021,"24,886 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 36 Lakh,"Rs. 64,794"
2020 MG Hector Sharp Hybrid 1.5 Petrol [2019-2020],MG,2020  Hector Sharp Hybrid 1.5 Petrol [2019-2020],2020,"69,150 km",Hybrid,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2019 Honda Jazz VX CVT Petrol,Honda,2019  Jazz VX CVT Petrol,2019,"48,784 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 7 Lakh,"Rs. 12,598"
2022 Skoda Slavia Style 1.0L TSI AT,Skoda,2022  Slavia Style 1.0L TSI AT,2022,"18,421 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 16.5 Lakh,"Rs. 29,697"
2015 Hyundai Elantra 1.8 SX AT,Hyundai,2015  Elantra 1.8 SX AT,2015,"81,392 km",Petrol,Automatic,"Madhapur, Hyderabad",Rs. 7.8 Lakh,"Rs. 14,038"
2021 Volvo XC60 Inscription [2017-2020],Volvo,2021  XC60 Inscription [2017-2020],2021,"45,516 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 51.5 Lakh,"Rs. 92,691"
2018 Volkswagen Tiguan Comfortline TDI,Volkswagen,2018  Tiguan Comfortline TDI,2018,"68,819 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 19.5 Lakh,"Rs. 35,096"
2018 BMW X5 xDrive 30d,BMW,2018  X5 xDrive 30d,2018,"70,300 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 44.95 Lakh,"Rs. 80,902"
2019 Jaguar XE Portfolio Diesel,Jaguar,2019  XE Portfolio Diesel,2019,"52,346 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 34.45 Lakh,"Rs. 62,004"
2015 Mercedes-Benz CLS 250 CDI,Mercedes-Benz,2015  CLS 250 CDI,2015,"95,400 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 23.5 Lakh,"Rs. 42,296"
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],MG,2023  Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],2023,"47,055 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 20 Lakh,"Rs. 35,996"
2019 Tata Tiago Revotron XZ,Tata,2019  Tiago Revotron XZ,2019,"71,522 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 4.01 Lakh,"Rs. 7,217"
2018 Skoda Rapid Ambition 1.6 MPI AT,Skoda,2018  Rapid Ambition 1.6 MPI AT,2018,"41,056 km",Petrol,Automatic,"Hankimpet, Hyderabad",Rs. 6.4 Lakh,"Rs. 11,518"
2024 MG ZS EV Excite Pro,MG,2024  ZS EV Excite Pro,2024,"6,405 km",Electric,Manual,"Nagarjuna Hills, Hyderabad",Rs. 18 Lakh,"Rs. 32,397"
"2018 Mercedes-Benz GLC 220 d Progressive1,",Mercedes-Benz,"2018  GLC 220 d Progressive1,",2018,"26,500 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 27.5 LakhRs,"Rs. 49,495"
2023 MG Hector Plus Sharp Pro 1.5 Turbo Petrol MT 7 STR [2023],MG,2023  Hector Plus Sharp Pro 1.5 Turbo Petrol MT 7 STR [2023],2023,"34,089 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 19 Lakh,"Rs. 34,196"
2022 Maruti Suzuki Grand Vitara Alpha Smart Hybrid [2022-2023],Maruti,2022  Suzuki Grand Vitara Alpha Smart Hybrid [2022-2023],2022,"52,628 km",Hybrid,Manual,"Nagarjuna Hills, Hyderabad",Rs. 14.5 Lakh,"Rs. 26,097"
2019 Tata Harrier XZ [2019-2020],Tata,2019  Harrier XZ [2019-2020],2019,"80,458 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 11.5 Lakh,"Rs. 20,698"
2023 MG Astor Sharp 1.5 CVT Ivory [2023-2024],MG,2023  Astor Sharp 1.5 CVT Ivory [2023-2024],2023,"34,038 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh,"Rs. 24,297"
2024 MG Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],MG,2024  Hector Sharp Pro 1.5 Turbo Petrol  CVT [2023],2024,"6,350 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 22 Lakh,"Rs. 39,596"
2021 MG Hector Smart 2.0 Diesel Turbo MT,MG,2021  Hector Smart 2.0 Diesel Turbo MT,2021,"77,238 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13.8 Lakh,"Rs. 24,837"
2018 Jeep Compass Sport 1.4 Petrol,Jeep,2018  Compass Sport 1.4 Petrol,2018,"37,580 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 10.4 Lakh,"Rs. 18,718"
2020 MG Hector Plus Sharp 2.0 Diesel,MG,2020  Hector Plus Sharp 2.0 Diesel,2020,"95,469 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13.5 Lakh,"Rs. 24,297"
2024 MG ZS EV Excite Pro,MG,2024  ZS EV Excite Pro,2024,"6,405 km",Electric,Manual,"Nagarjuna Hills, Hyderabad",Rs. 18 Lakh,"Rs. 32,397"
2018 Maruti Suzuki Swift ZDi AMT [2018-2019],Maruti,2018  Suzuki Swift ZDi AMT [2018-2019],2018,"69,757 km",Diesel,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 6.5 Lakh,"Rs. 11,698"
2019 MG Hector Sharp 1.5 DCT Petrol [2019-2020],MG,2019  Hector Sharp 1.5 DCT Petrol [2019-2020],2019,"43,490 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2023 MG Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],MG,2023  Hector Plus Sharp Pro 2.0 Turbo Diesel 7 STR [2023],2023,"47,055 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 20 Lakh,"Rs. 35,996"
2023 MG Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,MG,2023  Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,2023,"18,609 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 39 Lakh,"Rs. 70,193"
2018 Audi Q3 35 TDI quattro Technology,Audi,2018  Q3 35 TDI quattro Technology,2018,"61,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 25 Lakh,"Rs. 44,995"
2024 Tata Harrier Fearless Plus Dual Tone AT,Tata,2024  Harrier Fearless Plus Dual Tone AT,2024,"5,000 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 26 LakhMake,N/A
2021 Kia Sonet HTX 1.0 iMT [2020-2021],Kia,2021  Sonet HTX 1.0 iMT [2020-2021],2021,"75,053 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 8.62 Lakh,"Rs. 15,514"
2022 Tata Altroz XZ Plus Petrol Dark Edition [2021-2023],Tata,2022  Altroz XZ Plus Petrol Dark Edition [2021-2023],2022,"26,331 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 7.95 Lakh,"Rs. 14,308"
2020 MINI Cooper D 3 Door,MINI,2020  Cooper D 3 Door,2020,"15,794 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 38 Lakh,"Rs. 68,393"
2013 Mercedes-Benz A-Class A 180 CDI Style,Mercedes-Benz,2013  A-Class A 180 CDI Style,2013,"86,725 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 12.5 LakhMake,N/A
2016 Mercedes-Benz GLA 200 d Sport,Mercedes-Benz,2016  GLA 200 d Sport,2016,"81,782 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 19.75 Lakh,"Rs. 35,546"
2021 Audi Q5 2.0 TFSI quattro Premium Plus,Audi,2021  Q5 2.0 TFSI quattro Premium Plus,2021,"58,945 km",Petrol,Manual,"Madhapur, Hyderabad",Rs. 39.75 Lakh,"Rs. 71,543"
2022 MG Hector Sharp 1.5 Petrol CVT,MG,2022  Hector Sharp 1.5 Petrol CVT,2022,"43,925 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 16 Lakh,"Rs. 28,797"
2021 MG Hector Sharp 1.5 Petrol CVT,MG,2021  Hector Sharp 1.5 Petrol CVT,2021,"41,056 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 15 Lakh,"Rs. 26,997"
2022 Mercedes-Benz S-Class S 350D [2018-2020],Mercedes-Benz,2022  S-Class S 350D [2018-2020],2022,"70,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 98 Lakh,Rs. 1.76
2023 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Mercedes-Benz,2023  GLS 400d 4MATIC [2020-2023],2023,"9,500 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 1.35 CroreRs,Rs. 2.43
2019 Land Rover Range Rover 4.4 SDV8 Autobiography LWB,Land,2019  Rover Range Rover 4.4 SDV8 Autobiography LWB,2019,"86,000 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 1.25 CroreRs,Rs. 2.25
2018 Hyundai Creta SX 1.6 (O) Petrol,Hyundai,2018  Creta SX 1.6 (O) Petrol,2018,"36,428 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 11.28 Lakh,"Rs. 20,303"
2020 Mercedes-Benz GLS 400d 4MATIC [2020-2023],Mercedes-Benz,2020  GLS 400d 4MATIC [2020-2023],2020,"37,000 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 92 Lakh,Rs. 1.66
"2012 Audi A6 2.0 TDI Premium1,",Audi,"2012  A6 2.0 TDI Premium1,",2012,"09,562 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 14 LakhMake,N/A
2020 Mahindra Thar LX Convertible Diesel AT,Mahindra,2020  Thar LX Convertible Diesel AT,2020,"62,695 km",Diesel,Automatic,"Jntu Kukat Pally, Hyderabad",Rs. 12.25 Lakh,"Rs. 22,047"
2022 Tata Tiago XZA Plus [2020-2023],Tata,2022  Tiago XZA Plus [2020-2023],2022,"28,149 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 6.58 Lakh,"Rs. 11,842"
2021 Tata Altroz XZ Plus i-Turbo Petrol Dark Edition [2021-2023],Tata,2021  Altroz XZ Plus i-Turbo Petrol Dark Edition [2021-2023],2021,"47,370 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 7.26 Lakh,"Rs. 13,066"
2020 Mahindra XUV500 W,Mahindra,2020  XUV500 W,2020,"960,518 km",Diesel,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 13.68 Lakh,"Rs. 24,619"
2019 Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],Maruti,2019  Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],2019,"28,071 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 4.78 Lakh,"Rs. 8,603"
2016 BMW X1 sDrive20d xLine,BMW,2016  X1 sDrive20d xLine,2016,"99,720 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 19 Lakh,"Rs. 34,196"
2023 Hyundai Tucson Signature 2.0 4WD AT Diesel,Hyundai,2023  Tucson Signature 2.0 4WD AT Diesel,2023,"26,141 km",Diesel,Automatic,"Madhapur, Hyderabad",Rs. 32 Lakh,"Rs. 57,594"
2019 Maruti Suzuki Vitara Brezza VDi AGS,Maruti,2019  Suzuki Vitara Brezza VDi AGS,2019,"98,776 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 8 Lakh,"Rs. 14,398"
2021 MG Astor Savvy 1.3 Turbo AT S Red [2021-2023],MG,2021  Astor Savvy 1.3 Turbo AT S Red [2021-2023],2021,"52,862 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
"2017 Audi Q7 45 TDI Premium Plus1,",Audi,"2017  Q7 45 TDI Premium Plus1,",2017,"39,974 km",Diesel,Manual,"Madhapur, Hyderabad",Rs. 34 Lakh,"Rs. 61,194"
2022 Tata Nexon XZA Plus (S) Dual tone,Tata,2022  Nexon XZA Plus (S) Dual tone,2022,"23,970 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 10.96 Lakh,"Rs. 19,721"
2021 Tata Altroz XT Petrol [2020-2023],Tata,2021  Altroz XT Petrol [2020-2023],2021,"42,788 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 6.18 Lakh,"Rs. 11,122"
2019 Ford Freestyle Titanium Plus 1.2 Ti-VCT [2018-2020],Ford,2019  Freestyle Titanium Plus 1.2 Ti-VCT [2018-2020],2019,"38,742 km",Petrol,Manual,"Nagarjuna Hills, Hyderabad",Rs. 5.2 Lakh,"Rs. 9,359"
2022 Tata Altroz XZA Plus Petrol Dark Edtion [2022-2023],Tata,2022  Altroz XZA Plus Petrol Dark Edtion [2022-2023],2022,"58,492 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 7.78 Lakh,"Rs. 14,002"
2022 Kia Sonet HTX 1.5 AT,Kia,2022  Sonet HTX 1.5 AT,2022,"64,386 km",Diesel,Automatic,"Old MLA Quarters, Hyderabad",Rs. 10.64 Lakh,"Rs. 19,150"
2019 Tata Nexon XZA Plus Petrol Dual Tone,Tata,2019  Nexon XZA Plus Petrol Dual Tone,2019,"77,808 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 8.15 Lakh,"Rs. 14,668"
2020 MG Hector Sharp 2.0 Diesel [2019-2020],MG,2020  Hector Sharp 2.0 Diesel [2019-2020],2020,"72,249 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2020 Tata Altroz XZ Petrol [2020-2023],Tata,2020  Altroz XZ Petrol [2020-2023],2020,"53,680 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 6 Lakh,"Rs. 10,799"
2022 Nissan Magnite XV Turbo CVT [2020],Nissan,2022  Magnite XV Turbo CVT [2020],2022,"43,792 km",Petrol,Automatic,"Old MLA Quarters, Hyderabad",Rs. 6.99 Lakh,"Rs. 12,580"
2018 BMW 7-Series 730Ld,BMW,2018  7-Series 730Ld,2018,"24,200 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 72 Lakh,Rs. 1.30
2023 Toyota Vellfire VIP – Executive Lounge,Toyota,2023  Vellfire VIP – Executive Lounge,2023,"19,800 km",Hybrid,Manual,"Attapur, Hyderabad",Rs. 1.22 Crore,Rs. 2.20
2018 Renault Kwid 1.0 RXT AMT Opt [2016-2019],Renault,2018  Kwid 1.0 RXT AMT Opt [2016-2019],2018,"69,342 km",Petrol,Automatic,"Nagarjuna Hills, Hyderabad",Rs. 3.5 Lakh,"Rs. 6,299"
2022 Tata Nexon XM (S) Diesel [2020-2023],Tata,2022  Nexon XM (S) Diesel [2020-2023],2022,"43,791 km",Diesel,Manual,"Hankimpet, Hyderabad",Rs. 8.65 Lakh,"Rs. 15,568"
2017 Maruti Suzuki Baleno Delta 1.,Maruti,2017  Suzuki Baleno Delta 1.,2017,"276,849 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 4.47 Lakh,"Rs. 8,045"
2015 Volkswagen Vento Highline Petrol,Volkswagen,2015  Vento Highline Petrol,2015,"77,287 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 5.32 Lakh,"Rs. 9,575"
2019 Tata Tiago Revotron XZ,Tata,2019  Tiago Revotron XZ,2019,"27,250 km",Petrol,Manual,"Hankimpet, Hyderabad",Rs. 4.65 Lakh,"Rs. 8,369"
2021 Hyundai Creta SX 1.4 Turbo 7 DCT,Hyundai,2021  Creta SX 1.4 Turbo 7 DCT,2021,"34,258 km",Petrol,Automatic,"Hankimpet, Hyderabad",Rs. 14.62 Lakh,"Rs. 26,313"
2016 Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016  Creta 1.6 SX Plus Petrol,2016,"54,398 km",Petrol,Manual,"A P E R L, Hyderabad",Rs. 7.85 Lakh,"Rs. 14,128"
2022 Tata Nexon XMA Plus (S),Tata,2022  Nexon XMA Plus (S),2022,"28,714 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 8.67 Lakh,"Rs. 15,604"
2020 Kia Sonet GTX Plus 1.5 AT [2020-2021],Kia,2020  Sonet GTX Plus 1.5 AT [2020-2021],2020,"77,839 km",Diesel,Automatic,"Hankimpet, Hyderabad",Rs. 10.21 Lakh,"Rs. 18,376"
2017 Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017  Creta 1.6 SX Plus Petrol,2017,"78,042 km",Petrol,Manual,"A P E R L, Hyderabad",Rs. 8.5 Lakh,"Rs. 15,298"
2016 Maruti Suzuki Baleno Alpha 1.,Maruti,2016  Suzuki Baleno Alpha 1.,2016,"260,640 km",Petrol,Manual,"A P E R L, Hyderabad",Rs. 5.3 Lakh,"Rs. 9,539"
2019 Hyundai Creta EX 1.6 Petrol,Hyundai,2019  Creta EX 1.6 Petrol,2019,"47,337 km",Petrol,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 8.85 Lakh,"Rs. 15,928"
2020 Tata Altroz XZ Petrol [2020-2023],Tata,2020  Altroz XZ Petrol [2020-2023],2020,"53,680 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 6 Lakh,"Rs. 10,799"
2022 Nissan Magnite XV Turbo CVT [2020],Nissan,2022  Magnite XV Turbo CVT [2020],2022,"43,792 km",Petrol,Automatic,"Old MLA Quarters, Hyderabad",Rs. 6.99 Lakh,"Rs. 12,580"
2018 BMW 7-Series 730Ld,BMW,2018  7-Series 730Ld,2018,"24,200 km",Diesel,Manual,"Attapur, Hyderabad",Rs. 72 Lakh,Rs. 1.30
2023 Toyota Vellfire VIP – Executive Lounge,Toyota,2023  Vellfire VIP – Executive Lounge,2023,"19,800 km",Hybrid,Manual,"Attapur, Hyderabad",Rs. 1.22 Crore,Rs. 2.20
2022 Kia Sonet HTX 1.5 AT,Kia,2022  Sonet HTX 1.5 AT,2022,"64,386 km",Diesel,Automatic,"Old MLA Quarters, Hyderabad",Rs. 10.64 Lakh,"Rs. 19,150"
2019 Tata Nexon XZA Plus Petrol Dual Tone,Tata,2019  Nexon XZA Plus Petrol Dual Tone,2019,"77,808 km",Petrol,Manual,"Old MLA Quarters, Hyderabad",Rs. 8.15 Lakh,"Rs. 14,668"
2020 MG Hector Sharp 2.0 Diesel [2019-2020],MG,2020  Hector Sharp 2.0 Diesel [2019-2020],2020,"72,249 km",Diesel,Manual,"Nagarjuna Hills, Hyderabad",Rs. 13 Lakh,"Rs. 23,397"
2022 Maruti Suzuki Baleno Alpha 1.,Maruti,2022  Suzuki Baleno Alpha 1.,2022,"231,981 km",Petrol,Manual,"Beerappagadda, Hyderabad",Rs. 7.95 Lakh,"Rs. 14,308"
2021 Kia Sonet HTX Plus 1.5 [2020-2021],Kia,2021  Sonet HTX Plus 1.5 [2020-2021],2021,"41,826 km",Diesel,Manual,"Jntu Kukat Pally, Hyderabad",Rs. 10.67 Lakh,"Rs. 19,204"
2023 Maruti Suzuki Baleno Alpha 1.,Maruti,2023  Suzuki Baleno Alpha 1.,2023,"216,873 km",Petrol,Manual,"Bellavista, Hyderabad",Rs. 8.78 Lakh,"Rs. 15,802"
2016 Maruti Suzuki Baleno Zeta 1.2 AT,Maruti,2016  Suzuki Baleno Zeta 1.2 AT,2016,"50,888 km",Petrol,Automatic,"Beerappagadda, Hyderabad",Rs. 5.67 Lakh,"Rs. 10,205"
2023 Tata Altroz XZ Plus (S) iCNG,Tata,2023  Altroz XZ Plus (S) iCNG,2023,"14,800 km",CNG,Manual,"Beerappagadda, Hyderabad",Rs. 7.97 Lakh,"Rs. 14,344"
